State,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Haryana,510.49,519.11,547.19,762.51,1242.13,1362.09,1832.92
Himachal Pradesh,10514.3,10707.75,10768.91,10916.61,11303.49,11330.42,11356.16
Jammu & Kashmir,3650.22,3664.1,3581.11,3588.11,3551.61,3556.12,3595.37
Ladakh,0.0,0.0,89.0,89.0,136.44,137.79,139.79
Punjab,2626.98,2522.38,2566.86,2743.8,2864.12,2961.93,3163.92
Rajasthan,7289.36,8223.73,10134.97,10812.35,17451.62,22809.05,27103.89
Uttar Pradesh,3447.25,3739.46,3900.97,4563.07,4985.12,5228.65,5697.17
Uttarakhand,4379.83,4426.88,4437.96,4589.24,4787.15,4909.14,4971.94
Chandigarh,26.01,35.52,41.36,45.97,55.17,58.69,65.52
Delhi,123.03,180.35,218.62,246.43,270.12,302.26,340.51
Arunachal Pradesh,517.0,655.69,955.98,1256.27,1257.34,1259.75,1259.9
Assam,378.39,414.58,433.86,437.67,504.05,534.04,542.29
Manipur,115.28,118.66,120.43,121.84,122.7,122.73,123.49
Meghalaya,418.85,372.18,372.18,372.18,372.48,372.48,395.07
Mizoram,100.16,101.2,102.52,103.45,104.37,133.49,135.78
Nagaland,108.51,108.51,108.51,108.58,108.71,110.71,110.84
Tripura,24.53,24.53,28.91,29.57,30.9,33.61,34.47
Chhattisgarh,785.42,850.77,864.89,886.52,989.08,1419.82,1683.39
Goa,1.08,4.09,5.29,7.95,20.34,26.88,45.47
Gujarat,9339.45,10697.72,12683.77,15204.25,18577.9,21425.85,27461.72
Madhya Pradesh,6445.13,6864.87,7285.75,7526.97,7703.88,8140.08,9333.37
Maharashtra,11519.21,12421.69,12822.27,13382.85,13704.08,15804.5,17530.12
Dadar & Nagar Haveli/Daman & Diu,16.07,19.93,25.32,46.01,46.18,46.47,46.47
Bihar,346.18,352.23,365.09,376.63,387.35,389.6,450.15
Jharkhand,320.14,267.87,273.8,288.21,307.14,324.19,395.55
Odisha,2364.94,2681.68,2686.38,2715.63,2771.64,2782.57,2825.03
Sikkim,2222.98,2222.99,2223.05,2223.05,2338.79,2341.8,2344.15
West Bengal,1747.46,1849.29,1888.03,1923.44,1928.15,1962.77,1982.13
Andaman & Nicobar,12.05,17.22,17.68,34.71,34.74,35.16,35.16
Andhra Pradesh,8060.58,9560.02,10091.43,10696.14,10821.56,10970.18,11029.33
Karnataka,16241.6,17524.4,18918.13,19149.33,19593.79,20408.43,21441.94
Kerala,2282.06,2290.71,2304.35,2428.92,2527.2,2957.1,3229.46
Tamil Nadu,13451.72,14909.39,16588.84,17476.69,18277.5,20098.6,22161.62
Telangana,6507.48,6405.96,6442.85,6796.59,7364.79,7510.97,7604.4
Lakshadweep,3.14,3.14,3.27,3.27,3.27,3.27,4.97
Puducherry,0.34,3.32,5.69,9.51,13.69,35.53,49.91
Others,47.66,49.31,49.31,49.31,49.31,49.31,49.31
India (Total),115944.87,124811.22,133954.52,142012.61,156607.9,172009.98,190572.68
